City,Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (mph),Latitude,Longitude
Ulladulla,63.05,32,0,5.82,-35.35,150.47
Busselton,72.61,57,92,9.22,-33.65,115.33
Newton,42.87,41,73,12.75,42.34,-71.21
Los Llanos de Aridane,68.0,72,90,9.17,28.66,-17.92
Faanui,82.6,76,54,14.23,-16.48,-151.75
Albany,37.98,38,1,9.17,42.6,-73.97
Voyvozh,21.4,94,100,3.15,62.89,54.96
Tiarei,86.0,66,97,9.17,-17.53,-149.33
Padang,80.42,74,85,4.76,-0.95,100.35
Mthatha,69.8,52,97,2.24,-31.59,28.78
Aleksandrovskiy Zavod,61.93,19,0,8.14,50.92,117.94
Port Blair,82.33,74,91,7.7,11.67,92.75
Chapais,28.4,68,90,10.29,49.78,-74.85
Bluff,65.98,56,20,10.33,-46.6,168.33
Mahébourg,77.4,78,40,14.99,-20.41,57.7
Flinders,65.55,32,0,5.82,-34.58,150.86
Khatanga,17.96,97,100,11.74,71.97,102.5
Vestmannaeyjar,43.2,84,100,8.34,63.44,-20.27
Hermanus,62.01,95,100,11.01,-34.42,19.23
Mataura,68.38,51,18,6.15,-46.19,168.86
Lebu,51.85,74,0,13.51,-37.62,-73.65
Bethel,43.07,48,1,4.7,41.37,-73.41
Bogovarovo,27.88,94,100,8.99,58.98,47.02
Yulara,84.2,20,97,5.82,-25.24,130.99
Castro,56.14,72,15,4.54,-24.79,-50.01
Kapaa,75.27,73,90,17.22,22.08,-159.32
Saint-Pierre,68.14,78,18,5.82,-21.34,55.48
Hong Kong,67.19,52,20,13.87,22.29,114.16
Vaini,80.6,65,20,6.93,-21.2,-175.2
Iqaluit,24.4,68,90,6.93,63.75,-68.51
Rikitea,78.06,73,49,4.88,-23.12,-134.97
Hilo,74.14,65,40,4.16,19.73,-155.09
Calbuco,44.6,87,0,3.36,-41.77,-73.13
Richards Bay,69.67,86,1,12.35,-28.78,32.04
Norman Wells,28.4,50,20,4.7,65.28,-126.83
Port Alfred,66.99,80,37,5.99,-33.59,26.89
Ushuaia,41.0,75,40,20.8,-54.8,-68.3
Geraldton,77.0,83,40,8.05,-28.77,114.6
Chui,60.82,79,0,6.06,-33.7,-53.46
Punta Arenas,42.39,81,75,10.29,-53.15,-70.92
Henties Bay,63.0,89,3,10.31,-22.12,14.28
New Norfolk,56.3,58,75,14.99,-42.78,147.06
Arraial do Cabo,72.41,76,79,5.82,-22.97,-42.03
San Jose,58.82,67,20,11.41,37.34,-121.89
Berlevåg,25.02,93,67,7.78,70.86,29.09
Avarua,84.2,89,96,5.82,-21.21,-159.78
Nome,30.2,92,90,10.29,64.5,-165.41
George Town,84.51,79,20,5.82,5.41,100.34
Provideniya,32.54,93,100,6.29,64.38,-173.3
Deputatsky,24.87,92,79,14.14,69.3,139.9
Iznoski,30.11,89,29,5.32,54.99,35.31
Tornio,26.6,86,100,8.05,65.85,24.15
Chokurdakh,28.33,98,100,12.84,70.63,147.92
Hithadhoo,84.51,67,15,7.9,-0.6,73.08
Cabo San Lucas,68.99,60,40,14.99,22.89,-109.91
Jamestown,38.26,48,1,4.7,42.1,-79.24
Mayor Pablo Lagerenza,67.51,42,0,1.95,-19.93,-60.77
Kentau,57.65,72,100,5.95,43.52,68.51
Tuktoyaktuk,8.6,84,20,10.29,69.45,-133.04
Birao,74.05,43,84,3.36,10.28,22.79
Barrow,26.6,86,90,18.34,71.29,-156.79
Fare,83.44,70,60,10.96,-16.7,-151.02
Yellowknife,18.28,52,20,16.11,62.46,-114.35
Champerico,84.72,65,59,0.78,14.3,-91.92
Puerto Ayora,80.87,74,75,11.41,-0.74,-90.35
Saint-Philippe,67.55,78,22,5.82,-21.36,55.77
Saldanha,60.8,93,100,12.75,-33.01,17.94
Sisophon,91.87,53,31,3.74,13.59,102.97
Aravissós,57.31,72,39,3.49,40.84,22.3
Tura,88.61,24,1,3.8,25.52,90.22
Yar-Sale,12.34,91,44,4.05,66.83,70.83
Tuatapere,65.08,55,45,8.66,-46.13,167.68
São Cristóvão,84.2,74,20,11.41,-11.01,-37.21
Revelstoke,48.2,16,1,9.17,50.98,-118.2
Butaritari,84.0,74,85,10.33,3.07,172.79
Rabo de Peixe,57.2,76,20,13.87,37.8,-25.58
Albanel,32.31,93,90,6.93,48.88,-72.45
Shubarshi,43.74,57,29,7.87,48.59,57.19
Windhoek,61.39,82,0,3.36,-22.56,17.08
Beloha,72.75,70,100,9.53,-25.17,45.05
Erenhot,42.28,33,0,6.87,43.65,111.98
Mar del Plata,59.27,82,68,4.7,-38.0,-57.56
Port Macquarie,70.93,37,0,8.05,-31.43,152.92
Coahuayana Viejo,73.89,78,55,3.98,18.73,-103.68
Saint Paul Harbor,39.2,80,90,17.22,57.79,-152.41
Lerik,50.0,93,75,2.48,38.77,48.41
Lavrentiya,32.4,96,97,9.89,65.58,-171.0
Izumo,46.4,75,75,13.87,35.37,132.77
Bredasdorp,66.2,68,100,13.87,-34.53,20.04
Lorengau,85.15,68,44,3.06,-2.02,147.27
Bonthe,81.54,81,60,4.41,7.53,-12.51
Nanortalik,36.9,76,100,38.36,60.14,-45.24
Torbay,33.82,74,90,21.92,47.67,-52.73
Bagotville,72.1,53,40,17.22,-28.98,153.42
Broken Hill,57.2,44,1,12.75,-31.95,141.43
Tiznit Province,57.67,71,96,4.52,29.58,-9.5
Chumikan,45.34,57,30,6.02,54.72,135.31
Raudeberg,45.09,93,100,26.4,61.99,5.14
Luanda,78.75,85,69,2.95,-8.84,13.23
Qaanaaq,11.53,73,100,2.62,77.48,-69.36
Caravelas,78.42,86,38,7.36,-17.71,-39.25
Aklavik,23.0,49,5,6.93,68.22,-135.01
Rønne,44.6,93,100,24.16,55.1,14.71
Chambersburg,45.41,37,1,6.93,39.94,-77.66
Souillac,77.47,78,40,14.99,-20.52,57.52
Saint George,66.09,32,1,13.87,37.1,-113.58
Jinchang,51.28,17,77,10.6,38.5,102.17
Jalu,57.31,47,0,6.26,29.03,21.55
Tasiilaq,24.8,62,99,8.05,65.61,-37.64
Khorixas,75.2,42,14,3.67,-20.37,14.97
Rettikhovka,47.32,46,0,5.53,44.17,132.77
Dayong,68.0,49,1,8.95,25.02,118.29
Anadyr,8.28,78,75,13.42,64.75,177.48
Ugoofaaru,84.63,68,9,3.98,5.67,73.0
Cape Town,64.24,93,75,20.8,-33.93,18.42
Nara,49.93,76,75,3.36,34.69,135.8
Chernyshkovskiy,36.61,78,80,14.47,48.42,42.23
Ostrovnoy,14.65,93,23,11.5,68.05,39.51
Beringovskiy,14.11,94,94,10.87,63.05,179.32
Skjervøy,31.64,88,100,11.27,70.03,20.97
Saint-Augustin,31.3,98,90,5.95,51.23,-58.65
Araouane,82.85,13,0,3.04,18.9,-3.53
Ancud,39.2,100,23,4.7,-41.87,-73.82
Hammerfest,28.4,74,100,2.24,70.66,23.68
Sitka,46.11,49,20,4.7,57.05,-135.33
Voznesen'ye,28.42,95,0,6.11,61.01,35.48
Itarema,79.21,85,100,5.08,-2.92,-39.92
Ola,23.7,89,96,2.64,59.58,151.28
Hobart,56.61,58,75,14.99,-42.88,147.33
Serabu,77.65,88,50,1.36,7.8,-12.05
